"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,7.76,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,7.85,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,8.31,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,8.5,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,10.32,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,10.94,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,10.66,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,0.98,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,1.05,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,1.12,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,1.46,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,1.52,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,1.51,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,1.5,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,1.47,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,1.51,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,1.52,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,1.57,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,1.61,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,1.64,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,1.66,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,1.73,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.14,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,2.08,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,2.04,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,2.23,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,2.29,,
"TUR","Türkiye","EXR","In 2021 constant prices at 2021 USD exchange rates","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,2.33,,
"LUX","Luxembourg","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,23289.18,,
"LUX","Luxembourg","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,23242.88,,
"LUX","Luxembourg","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,24112.55,,
"LUX","Luxembourg","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,24077.47,,
"LUX","Luxembourg","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,24561.57,,
"LUX","Luxembourg","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,24420.01,,
"LUX","Luxembourg","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,24877.71,,
"LUX","Luxembourg","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,24560.38,,
"LUX","Luxembourg","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,25583.71,,
